# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

torch.distributed.algorithms.ddp_comm_hooks|ERA_UNKNOWN|DEAD|N/A
torchvision|ERA_UNKNOWN|DEAD|N/A
torch.distributed.nn.api.remote_module|ERA_UNKNOWN|DEAD|N/A
torch.distributed.rpc._testing  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.ddp_under_dist_autograd_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.nn.api.remote_module_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.dist_autograd_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.dist_optimizer_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.examples.parameter_server_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.examples.reinforcement_learning_rpc_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.faulty_agent_rpc_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.jit.dist_autograd_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.jit.rpc_test|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.jit.rpc_test_faulty|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.distributed.rpc.rpc_test|ERA_UNKNOWN|DEAD|N/A
torch.utils._helion|ERA_UNKNOWN|DEAD|N/A
math  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.common_jit|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.opinfo.definitions|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.opinfo|ERA_UNKNOWN|DEAD|N/A
pytest_subtests  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
torch.nested._internal.ops|ERA_UNKNOWN|DEAD|N/A
.make_fx|ERA_UNKNOWN|DEAD|N/A
.autograd_registration|ERA_UNKNOWN|DEAD|N/A
.generate_tests|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.two_tensor|ERA_UNKNOWN|DEAD|N/A
torch.testing._internal.inductor_utils|ERA_UNKNOWN|DEAD|N/A
torch._vendor.packaging.version|ERA_UNKNOWN|DEAD|N/A
torch.utils.cpp_backtrace|ERA_UNKNOWN|DEAD|N/A
torch.utils.throughput_benchmark|ERA_UNKNOWN|DEAD|N/A
torch._dynamo.polyfills.pytree|ERA_UNKNOWN|DEAD|N/A
torch.distributed.tensor  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
torch.autograd.grad_mode|ERA_UNKNOWN|DEAD|N/A
helion  # type: ignore[import-untyped|ERA_UNKNOWN|DEAD|N/A
import-not-found]  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
dill|ERA_UNKNOWN|DEAD|N/A
jax  # noqa: F401  # type: ignore[import-not-found]|ERA_UNKNOWN|DEAD|N/A
.flop_counter|ERA_UNKNOWN|DEAD|N/A
.interp|ERA_UNKNOWN|DEAD|N/A
triton.language.extra.cuda|ERA_UNKNOWN|DEAD|N/A
triton.runtime.driver|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.common|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.timer|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.compare|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.fuzzer|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.valgrind_wrapper.timer_interface|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.sparse_fuzzer|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.op_fuzzers.binary|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.op_fuzzers.unary|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.op_fuzzers.spectral|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils._stubs|ERA_UNKNOWN|DEAD|N/A
torch.utils.benchmark.utils.valgrind_wrapper|ERA_UNKNOWN|DEAD|N/A
torch._appdirs|ERA_UNKNOWN|DEAD|N/A
.file_baton|ERA_UNKNOWN|DEAD|N/A
._cpp_extension_versioner|ERA_UNKNOWN|DEAD|N/A
.hipify|ERA_UNKNOWN|DEAD|N/A
.hipify.hipify_python|ERA_UNKNOWN|DEAD|N/A
setuptools._distutils|ERA_UNKNOWN|DEAD|N/A
setuptools._distutils.compilers.C|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.dataloader|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes._decorator|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.datapipe|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.dataset|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.sampler|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.graph_settings|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes._typing|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes._hook_iterator|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.dataframe.dataframes|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.dataframe.datapipes|ERA_UNKNOWN|DEAD|N/A
pandas  # type: ignore[import]|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.dataframe.structures|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.dataframe|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.utils.common|ERA_UNKNOWN|DEAD|N/A
torchgen.api.python|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.callable|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.combinatorics|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.combining|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.filelister|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.fileopener|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.grouping|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.routeddecoder|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.selecting|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.sharding|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.streamreader|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.iter.utils|ERA_UNKNOWN|DEAD|N/A
torch.utils.data._utils.collate|ERA_UNKNOWN|DEAD|N/A
torcharrow.pytorch|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.utils.decoder|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.map.callable|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.map.combinatorics|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.map.combining|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.map.grouping|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.datapipes.map.utils|ERA_UNKNOWN|DEAD|N/A
torchvision.io|ERA_UNKNOWN|DEAD|N/A
torchaudio  # type: ignore[import]|ERA_UNKNOWN|DEAD|N/A
torch.utils.data.graph|ERA_UNKNOWN|DEAD|N/A
.module_tracker|ERA_UNKNOWN|DEAD|N/A
.cuda_to_hip_mappings|ERA_UNKNOWN|DEAD|N/A
torch.utils.show_pickle|ERA_UNKNOWN|DEAD|N/A
tensorboard|ERA_UNKNOWN|DEAD|N/A
.writer|ERA_UNKNOWN|DEAD|N/A
tensorboard.summary.writer.record_writer|ERA_UNKNOWN|DEAD|N/A
._convert_np|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.projector.projector_config_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.graph_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.node_def_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.versions_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.attr_value_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.tensor_shape_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.config_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.step_stats_pb2|ERA_UNKNOWN|DEAD|N/A
._proto_graph|ERA_UNKNOWN|DEAD|N/A
google.protobuf|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.summary_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.tensor_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.custom_scalar|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.pr_curve.plugin_data_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.text.plugin_data_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.hparams.api_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.hparams.metadata|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.hparams.plugin_data_pb2|ERA_UNKNOWN|DEAD|N/A
moviepy  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
moviepy|ERA_UNKNOWN|DEAD|N/A
wave|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.mesh|ERA_UNKNOWN|DEAD|N/A
tensorboard.plugins.mesh.plugin_data_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto|ERA_UNKNOWN|DEAD|N/A
tensorboard.compat.proto.event_pb2|ERA_UNKNOWN|DEAD|N/A
tensorboard.summary.writer.event_file_writer|ERA_UNKNOWN|DEAD|N/A
._embedding|ERA_UNKNOWN|DEAD|N/A
._onnx_graph|ERA_UNKNOWN|DEAD|N/A
._pytorch_graph|ERA_UNKNOWN|DEAD|N/A
.summary|ERA_UNKNOWN|DEAD|N/A
torch.cuda._memory_viz|ERA_UNKNOWN|DEAD|N/A
torchgen.api|ERA_UNKNOWN|DEAD|N/A
torchgen.api.types|ERA_UNKNOWN|DEAD|N/A
torchgen.gen|ERA_UNKNOWN|DEAD|N/A
torchgen.api.types.types|ERA_UNKNOWN|DEAD|N/A
torchgen.api.types.types_base|ERA_UNKNOWN|DEAD|N/A
torchgen.api.types.signatures|ERA_UNKNOWN|DEAD|N/A
torchgen.local|ERA_UNKNOWN|DEAD|N/A
torchgen.dest.lazy_ir|ERA_UNKNOWN|DEAD|N/A
torchgen.dest.native_functions|ERA_UNKNOWN|DEAD|N/A
torchgen.dest.register_dispatch_key|ERA_UNKNOWN|DEAD|N/A
torchgen.dest.ufunc|ERA_UNKNOWN|DEAD|N/A
torchgen.api.dispatcher|ERA_UNKNOWN|DEAD|N/A
torchgen.api.lazy|ERA_UNKNOWN|DEAD|N/A
torchgen.api.translate|ERA_UNKNOWN|DEAD|N/A
torchgen.context|ERA_UNKNOWN|DEAD|N/A
torchgen.dest.lazy_ts_lowering|ERA_UNKNOWN|DEAD|N/A
torchgen.api.meta|ERA_UNKNOWN|DEAD|N/A
torchgen.api.structured|ERA_UNKNOWN|DEAD|N/A
torchgen.api.cpp|ERA_UNKNOWN|DEAD|N/A
torchgen.selective_build.selector|ERA_UNKNOWN|DEAD|N/A
torchgen.api.ufunc|ERA_UNKNOWN|DEAD|N/A
torchgen.api.native|ERA_UNKNOWN|DEAD|N/A
torchgen.dest|ERA_UNKNOWN|DEAD|N/A
torchgen.gen_aoti_c_shim|ERA_UNKNOWN|DEAD|N/A
torchgen.gen_functionalization_type|ERA_UNKNOWN|DEAD|N/A
torchgen.gen_vmap_plumbing|ERA_UNKNOWN|DEAD|N/A
torchgen.native_function_generation|ERA_UNKNOWN|DEAD|N/A
torchgen.yaml_utils|ERA_UNKNOWN|DEAD|N/A
torchgen.code_template|ERA_UNKNOWN|DEAD|N/A
torchgen.gen_backend_stubs|ERA_UNKNOWN|DEAD|N/A
torch.jit.generate_bytecode|ERA_UNKNOWN|DEAD|N/A
torchgen.operator_versions.gen_mobile_upgraders_constant|ERA_UNKNOWN|DEAD|N/A
torchgen.api.autograd|ERA_UNKNOWN|DEAD|N/A
.gen_python_functions|ERA_UNKNOWN|DEAD|N/A
.gen_autograd_functions|ERA_UNKNOWN|DEAD|N/A
.gen_inplace_or_view_type|ERA_UNKNOWN|DEAD|N/A
.gen_trace_type|ERA_UNKNOWN|DEAD|N/A
.gen_variable_factories|ERA_UNKNOWN|DEAD|N/A
.gen_variable_type|ERA_UNKNOWN|DEAD|N/A
.gen_view_funcs|ERA_UNKNOWN|DEAD|N/A
.load_derivatives|ERA_UNKNOWN|DEAD|N/A
torchgen.api.functionalization|ERA_UNKNOWN|DEAD|N/A
torchgen.selective_build.operator|ERA_UNKNOWN|DEAD|N/A
libfb.py.log|ERA_UNKNOWN|DEAD|N/A
torchgen.static_runtime|ERA_UNKNOWN|DEAD|N/A
._monitor|ERA_UNKNOWN|DEAD|N/A
._tqdm_pandas|ERA_UNKNOWN|DEAD|N/A
.gui|ERA_UNKNOWN|DEAD|N/A
.std|ERA_UNKNOWN|DEAD|N/A
.notebook|ERA_UNKNOWN|DEAD|N/A
.autonotebook|ERA_UNKNOWN|DEAD|N/A
..auto|ERA_UNKNOWN|DEAD|N/A
..std|ERA_UNKNOWN|DEAD|N/A
.slack|ERA_UNKNOWN|DEAD|N/A
.telegram|ERA_UNKNOWN|DEAD|N/A
.discord|ERA_UNKNOWN|DEAD|N/A
requests.utils|ERA_UNKNOWN|DEAD|N/A
.utils_worker|ERA_UNKNOWN|DEAD|N/A
tqdm.contrib.logging|ERA_UNKNOWN|DEAD|N/A
slack_sdk|ERA_UNKNOWN|DEAD|N/A
dask.callbacks|ERA_UNKNOWN|DEAD|N/A
.auto|ERA_UNKNOWN|DEAD|N/A
keras|ERA_UNKNOWN|DEAD|N/A
IPython.html.widgets|ERA_UNKNOWN|DEAD|N/A
tkinter.ttk|ERA_UNKNOWN|DEAD|N/A
tqdm.utils|ERA_UNKNOWN|DEAD|N/A
._dist_ver|ERA_UNKNOWN|DEAD|N/A
.utils.import_utils|ERA_UNKNOWN|DEAD|N/A
.cache_utils|ERA_UNKNOWN|DEAD|N/A
.configuration_utils|ERA_UNKNOWN|DEAD|N/A
.convert_slow_tokenizer|ERA_UNKNOWN|DEAD|N/A
.core_model_loading|ERA_UNKNOWN|DEAD|N/A
.data.data_collator|ERA_UNKNOWN|DEAD|N/A
.data.datasets|ERA_UNKNOWN|DEAD|N/A
.feature_extraction_sequence_utils|ERA_UNKNOWN|DEAD|N/A
.feature_extraction_utils|ERA_UNKNOWN|DEAD|N/A
.generation|ERA_UNKNOWN|DEAD|N/A
.hf_argparser|ERA_UNKNOWN|DEAD|N/A
.image_processing_base|ERA_UNKNOWN|DEAD|N/A
.image_processing_utils|ERA_UNKNOWN|DEAD|N/A
.image_processing_utils_fast|ERA_UNKNOWN|DEAD|N/A
.image_utils|ERA_UNKNOWN|DEAD|N/A
.integrations|ERA_UNKNOWN|DEAD|N/A
.integrations.executorch|ERA_UNKNOWN|DEAD|N/A
.masking_utils|ERA_UNKNOWN|DEAD|N/A
.model_debugging_utils|ERA_UNKNOWN|DEAD|N/A
.modeling_layers|ERA_UNKNOWN|DEAD|N/A
.modeling_rope_utils|ERA_UNKNOWN|DEAD|N/A
.modeling_utils|ERA_UNKNOWN|DEAD|N/A
.models.mamba.modeling_mamba|ERA_UNKNOWN|DEAD|N/A
.models.timm_wrapper|ERA_UNKNOWN|DEAD|N/A
.optimization|ERA_UNKNOWN|DEAD|N/A
.pipelines|ERA_UNKNOWN|DEAD|N/A
.processing_utils|ERA_UNKNOWN|DEAD|N/A
.pytorch_utils|ERA_UNKNOWN|DEAD|N/A
.tokenization_python|ERA_UNKNOWN|DEAD|N/A
.tokenization_utils_base|ERA_UNKNOWN|DEAD|N/A
.tokenization_utils_sentencepiece|ERA_UNKNOWN|DEAD|N/A
.tokenization_utils_tokenizers|ERA_UNKNOWN|DEAD|N/A
.trainer_callback|ERA_UNKNOWN|DEAD|N/A
.trainer_pt_utils|ERA_UNKNOWN|DEAD|N/A
.trainer_seq2seq|ERA_UNKNOWN|DEAD|N/A
.trainer_utils|ERA_UNKNOWN|DEAD|N/A
.training_args_seq2seq|ERA_UNKNOWN|DEAD|N/A
.utils.kernel_config|ERA_UNKNOWN|DEAD|N/A
.utils.quantization_config|ERA_UNKNOWN|DEAD|N/A
.video_processing_utils|ERA_UNKNOWN|DEAD|N/A
.integrations.hub_kernels|ERA_UNKNOWN|DEAD|N/A
xielu.ops  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
soundfile|ERA_UNKNOWN|DEAD|N/A
librosa|ERA_UNKNOWN|DEAD|N/A
soxr|ERA_UNKNOWN|DEAD|N/A
torchcodec.decoders|ERA_UNKNOWN|DEAD|N/A
hqq.core.quantize|ERA_UNKNOWN|DEAD|N/A
optimum.quanto|ERA_UNKNOWN|DEAD|N/A
.add_fast_image_processor|ERA_UNKNOWN|DEAD|N/A
libcst|ERA_UNKNOWN|DEAD|N/A
..models.auto.configuration_auto|ERA_UNKNOWN|DEAD|N/A
..models.auto.feature_extraction_auto|ERA_UNKNOWN|DEAD|N/A
..models.auto.image_processing_auto|ERA_UNKNOWN|DEAD|N/A
..models.auto.processing_auto|ERA_UNKNOWN|DEAD|N/A
..models.auto.tokenization_auto|ERA_UNKNOWN|DEAD|N/A
..models.auto.video_processing_auto|ERA_UNKNOWN|DEAD|N/A
...utils.import_utils|ERA_UNKNOWN|DEAD|N/A
transformers.models.auto.configuration_auto|ERA_UNKNOWN|DEAD|N/A
readline  # noqa importing this enables GNU readline capabilities|ERA_UNKNOWN|DEAD|N/A
rich.live|ERA_UNKNOWN|DEAD|N/A
..models.auto|ERA_UNKNOWN|DEAD|N/A
..generation.continuous_batching|ERA_UNKNOWN|DEAD|N/A
openai.types.audio.transcription|ERA_UNKNOWN|DEAD|N/A
openai.types.audio.transcription_create_params|ERA_UNKNOWN|DEAD|N/A
openai.types.chat|ERA_UNKNOWN|DEAD|N/A
openai.types.chat.chat_completion|ERA_UNKNOWN|DEAD|N/A
openai.types.chat.chat_completion_chunk|ERA_UNKNOWN|DEAD|N/A
openai.types.chat.completion_create_params|ERA_UNKNOWN|DEAD|N/A
openai.types.responses|ERA_UNKNOWN|DEAD|N/A
openai.types.responses.response_create_params|ERA_UNKNOWN|DEAD|N/A
transformers.models.auto.modeling_auto|ERA_UNKNOWN|DEAD|N/A
..integrations.deepspeed|ERA_UNKNOWN|DEAD|N/A
accelerate.commands.config|ERA_UNKNOWN|DEAD|N/A
deepspeed|ERA_UNKNOWN|DEAD|N/A
transformers.cli.add_fast_image_processor|ERA_UNKNOWN|DEAD|N/A
transformers.cli.add_new_model_like|ERA_UNKNOWN|DEAD|N/A
transformers.cli.chat|ERA_UNKNOWN|DEAD|N/A
transformers.cli.download|ERA_UNKNOWN|DEAD|N/A
transformers.cli.serve|ERA_UNKNOWN|DEAD|N/A
transformers.cli.system|ERA_UNKNOWN|DEAD|N/A
.dynamic_module_utils|ERA_UNKNOWN|DEAD|N/A
.generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A
.modeling_gguf_pytorch_utils|ERA_UNKNOWN|DEAD|N/A
.utils.generic|ERA_UNKNOWN|DEAD|N/A
transformers.models.auto|ERA_UNKNOWN|DEAD|N/A
.quantizers|ERA_UNKNOWN|DEAD|N/A
sentencepiece|ERA_UNKNOWN|DEAD|N/A
.models.roformer.tokenization_utils|ERA_UNKNOWN|DEAD|N/A
tiktoken.load|ERA_UNKNOWN|DEAD|N/A
.integrations.accelerate|ERA_UNKNOWN|DEAD|N/A
.integrations.tensor_parallel|ERA_UNKNOWN|DEAD|N/A
.conversion_mapping|ERA_UNKNOWN|DEAD|N/A
.data_collator|ERA_UNKNOWN|DEAD|N/A
..tokenization_utils_base|ERA_UNKNOWN|DEAD|N/A
.glue|ERA_UNKNOWN|DEAD|N/A
.squad|ERA_UNKNOWN|DEAD|N/A
...tokenization_utils_base|ERA_UNKNOWN|DEAD|N/A
..processors.glue|ERA_UNKNOWN|DEAD|N/A
..processors.utils|ERA_UNKNOWN|DEAD|N/A
...models.auto.modeling_auto|ERA_UNKNOWN|DEAD|N/A
...tokenization_python|ERA_UNKNOWN|DEAD|N/A
..processors.squad|ERA_UNKNOWN|DEAD|N/A
...models.bert|ERA_UNKNOWN|DEAD|N/A
.xnli|ERA_UNKNOWN|DEAD|N/A
...models.bert.tokenization_bert_legacy|ERA_UNKNOWN|DEAD|N/A
.dependency_versions_table|ERA_UNKNOWN|DEAD|N/A
.utils.versions|ERA_UNKNOWN|DEAD|N/A
.audio_utils|ERA_UNKNOWN|DEAD|N/A
.utils.hub|ERA_UNKNOWN|DEAD|N/A
.streamers|ERA_UNKNOWN|DEAD|N/A
.candidate_generator|ERA_UNKNOWN|DEAD|N/A
.continuous_batching|ERA_UNKNOWN|DEAD|N/A
.logits_process|ERA_UNKNOWN|DEAD|N/A
.stopping_criteria|ERA_UNKNOWN|DEAD|N/A
.watermarking|ERA_UNKNOWN|DEAD|N/A
..pytorch_utils|ERA_UNKNOWN|DEAD|N/A
..modeling_utils|ERA_UNKNOWN|DEAD|N/A
..configuration_utils|ERA_UNKNOWN|DEAD|N/A
.continuous_api|ERA_UNKNOWN|DEAD|N/A
...configuration_utils|ERA_UNKNOWN|DEAD|N/A
...generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A
...utils.generic|ERA_UNKNOWN|DEAD|N/A
...utils.metrics|ERA_UNKNOWN|DEAD|N/A
.cache_manager|ERA_UNKNOWN|DEAD|N/A
...generation.logits_process|ERA_UNKNOWN|DEAD|N/A
...utils.logging|ERA_UNKNOWN|DEAD|N/A
..utils.logging|ERA_UNKNOWN|DEAD|N/A
..generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A
..cache_utils|ERA_UNKNOWN|DEAD|N/A
..dynamic_module_utils|ERA_UNKNOWN|DEAD|N/A
..integrations.fsdp|ERA_UNKNOWN|DEAD|N/A
..masking_utils|ERA_UNKNOWN|DEAD|N/A
..tokenization_python|ERA_UNKNOWN|DEAD|N/A
..utils.generic|ERA_UNKNOWN|DEAD|N/A
accelerate.hooks|ERA_UNKNOWN|DEAD|N/A
.image_transforms|ERA_UNKNOWN|DEAD|N/A
huggingface_hub.dataclasses|ERA_UNKNOWN|DEAD|N/A
torchvision.transforms.v2.functional|ERA_UNKNOWN|DEAD|N/A
.utils.constants|ERA_UNKNOWN|DEAD|N/A
torchvision.transforms|ERA_UNKNOWN|DEAD|N/A
.aqlm|ERA_UNKNOWN|DEAD|N/A
.awq|ERA_UNKNOWN|DEAD|N/A
.bitnet|ERA_UNKNOWN|DEAD|N/A
.bitsandbytes|ERA_UNKNOWN|DEAD|N/A
.deepspeed|ERA_UNKNOWN|DEAD|N/A
.eetq|ERA_UNKNOWN|DEAD|N/A
.fbgemm_fp8|ERA_UNKNOWN|DEAD|N/A
.finegrained_fp8|ERA_UNKNOWN|DEAD|N/A
.fsdp|ERA_UNKNOWN|DEAD|N/A
.ggml|ERA_UNKNOWN|DEAD|N/A
.higgs|ERA_UNKNOWN|DEAD|N/A
.hqq|ERA_UNKNOWN|DEAD|N/A
.hub_kernels|ERA_UNKNOWN|DEAD|N/A
.integration_utils|ERA_UNKNOWN|DEAD|N/A
.moe|ERA_UNKNOWN|DEAD|N/A
.mxfp4|ERA_UNKNOWN|DEAD|N/A
.peft|ERA_UNKNOWN|DEAD|N/A
.quanto|ERA_UNKNOWN|DEAD|N/A
.spqr|ERA_UNKNOWN|DEAD|N/A
.vptq|ERA_UNKNOWN|DEAD|N/A
.tensor_parallel|ERA_UNKNOWN|DEAD|N/A
.flex_attention|ERA_UNKNOWN|DEAD|N/A
..utils.quantization_config|ERA_UNKNOWN|DEAD|N/A
accelerate.utils|ERA_UNKNOWN|DEAD|N/A
accelerate.utils.modeling|ERA_UNKNOWN|DEAD|N/A
..quantizers|ERA_UNKNOWN|DEAD|N/A
..core_model_loading|ERA_UNKNOWN|DEAD|N/A
..quantizers.quantizers_utils|ERA_UNKNOWN|DEAD|N/A
aqlm|ERA_UNKNOWN|DEAD|N/A
gptqmodel.quantization.awq.modules.act|ERA_UNKNOWN|DEAD|N/A
gptqmodel.quantization|ERA_UNKNOWN|DEAD|N/A
gptqmodel.utils.importer|ERA_UNKNOWN|DEAD|N/A
..models.llama.modeling_llama|ERA_UNKNOWN|DEAD|N/A
bitsandbytes|ERA_UNKNOWN|DEAD|N/A
..dependency_versions_check|ERA_UNKNOWN|DEAD|N/A
accelerate.utils.deepspeed|ERA_UNKNOWN|DEAD|N/A
deepspeed.utils|ERA_UNKNOWN|DEAD|N/A
..generation.continuous_batching.cache|ERA_UNKNOWN|DEAD|N/A
..activations|ERA_UNKNOWN|DEAD|N/A
fbgemm_gpu.experimental.gen_ai  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
..integrations|ERA_UNKNOWN|DEAD|N/A
..modeling_flash_attention_utils|ERA_UNKNOWN|DEAD|N/A
..utils.import_utils|ERA_UNKNOWN|DEAD|N/A
fp_quant|ERA_UNKNOWN|DEAD|N/A
transformers.utils.quantization_config|ERA_UNKNOWN|DEAD|N/A
..convert_slow_tokenizer|ERA_UNKNOWN|DEAD|N/A
flute.integrations.higgs|ERA_UNKNOWN|DEAD|N/A
flute.tune|ERA_UNKNOWN|DEAD|N/A
fast_hadamard_transform|ERA_UNKNOWN|DEAD|N/A
.flash_attention|ERA_UNKNOWN|DEAD|N/A
kernels|ERA_UNKNOWN|DEAD|N/A
comet_ml|ERA_UNKNOWN|DEAD|N/A
..trainer_callback|ERA_UNKNOWN|DEAD|N/A
..trainer_utils|ERA_UNKNOWN|DEAD|N/A
..training_args|ERA_UNKNOWN|DEAD|N/A
optuna|ERA_UNKNOWN|DEAD|N/A
accelerate.utils.memory|ERA_UNKNOWN|DEAD|N/A
ray.tune|ERA_UNKNOWN|DEAD|N/A
transformers.utils.notebook|ERA_UNKNOWN|DEAD|N/A
ray.tune.schedulers|ERA_UNKNOWN|DEAD|N/A
datasets.load|ERA_UNKNOWN|DEAD|N/A
wandb.env|ERA_UNKNOWN|DEAD|N/A
wandb.sdk.lib.config_util|ERA_UNKNOWN|DEAD|N/A
..trainer|ERA_UNKNOWN|DEAD|N/A
trackio|ERA_UNKNOWN|DEAD|N/A
azureml.core.run|ERA_UNKNOWN|DEAD|N/A
dagshub.upload|ERA_UNKNOWN|DEAD|N/A
neptune|ERA_UNKNOWN|DEAD|N/A
neptune.internal.utils|ERA_UNKNOWN|DEAD|N/A
neptune.new.internal.utils|ERA_UNKNOWN|DEAD|N/A
neptune.new.metadata_containers.run|ERA_UNKNOWN|DEAD|N/A
neptune.exceptions|ERA_UNKNOWN|DEAD|N/A
neptune.new|ERA_UNKNOWN|DEAD|N/A
neptune.new.exceptions|ERA_UNKNOWN|DEAD|N/A
neptune.utils|ERA_UNKNOWN|DEAD|N/A
codecarbon|ERA_UNKNOWN|DEAD|N/A
flytekit|ERA_UNKNOWN|DEAD|N/A
flytekitplugins.deck.renderer|ERA_UNKNOWN|DEAD|N/A
dvclive|ERA_UNKNOWN|DEAD|N/A
dvclive.plots|ERA_UNKNOWN|DEAD|N/A
dvclive.utils|ERA_UNKNOWN|DEAD|N/A
swanlab|ERA_UNKNOWN|DEAD|N/A
transformers.convert_slow_tokenizer|ERA_UNKNOWN|DEAD|N/A
