# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

.functional_adagrad|DEAD|NO_FILE
.functional_adam|DEAD|NO_FILE
.functional_adamax|DEAD|NO_FILE
.functional_adamw|DEAD|NO_FILE
.functional_rmsprop|DEAD|NO_FILE
.functional_rprop|DEAD|NO_FILE
.functional_sgd|DEAD|NO_FILE
.named_optimizer|DEAD|NO_FILE
.post_localSGD_optimizer|DEAD|NO_FILE
.zero_redundancy_optimizer|DEAD|NO_FILE
torch.optim._functional|DEAD|NO_FILE
torch.distributed.optim._deprecation_warning|DEAD|NO_FILE
torch.distributed.autograd|DEAD|NO_FILE
torch.jit|DEAD|NO_FILE
torch.distributed.algorithms.join|DEAD|NO_FILE
torch.distributed.optim.utils|DEAD|NO_FILE
._backward|DEAD|NO_FILE
._unflatten|DEAD|NO_FILE
.stage|DEAD|NO_FILE
._IR|DEAD|NO_FILE
._debug|DEAD|NO_FILE
torch.distributed.pipelining.schedules|DEAD|NO_FILE
torch.distributed.pipelining.stage|DEAD|NO_FILE
torch.nn.modules.loss|DEAD|NO_FILE
.microbatch|DEAD|NO_FILE
torch.distributed._composable.replicate_with_fsdp|DEAD|NO_FILE
.backend_registry|DEAD|NO_FILE
.server_process_global_profiler|DEAD|NO_FILE
torch._C._distributed_rpc_testing|DEAD|NO_FILE
torch.autograd.profiler_legacy|DEAD|NO_FILE
torch.distributed.argparse_util|DEAD|NO_FILE
torch.distributed.tensor._ops  # force all built-in dtensor ops|DEAD|NO_FILE
torch.utils._foreach_utils|DEAD|NO_FILE
._dtensor_spec|DEAD|NO_FILE
torch.distributed.tensor._dispatch|DEAD|NO_FILE
torch.distributed.tensor._collective_utils|DEAD|NO_FILE
torch.distributed.tensor._redistribute|DEAD|NO_FILE
torch_xla.distributed.spmd|DEAD|NO_FILE
torch.distributed._local_tensor|DEAD|NO_FILE
torch.distributed.tensor._argmin_argmax|DEAD|NO_FILE
torch.distributed.tensor._op_schema|DEAD|NO_FILE
torch.distributed.tensor._sharding_prop|DEAD|NO_FILE
torch.distributed.tensor._tp_conv|DEAD|NO_FILE
._conv_ops|DEAD|NO_FILE
._embedding_ops|DEAD|NO_FILE
._math_ops|DEAD|NO_FILE
._matrix_ops|DEAD|NO_FILE
._pointwise_ops|DEAD|NO_FILE
._random_ops|DEAD|NO_FILE
._tensor_ops|DEAD|NO_FILE
._view_ops|DEAD|NO_FILE
torch.distributed.tensor._ops.registration|DEAD|NO_FILE
torch.distributed.tensor._ops._einsum_strategy|DEAD|NO_FILE
torch.distributed.tensor._ops._common_rules|DEAD|NO_FILE
torch.distributed.tensor._ops._embedding_ops|DEAD|NO_FILE
torch.distributed.tensor.device_mesh|DEAD|NO_FILE
torch.distributed.tensor.debug._comm_mode|DEAD|NO_FILE
torch.distributed.tensor.debug._visualize_sharding|DEAD|NO_FILE
torch.distributed.tensor.experimental._attention|DEAD|NO_FILE
torch.distributed.tensor.experimental._register_sharding|DEAD|NO_FILE
._context_parallel._attention|DEAD|NO_FILE
._context_parallel._load_balancer|DEAD|NO_FILE
._attention|DEAD|NO_FILE
._cp_custom_ops|DEAD|NO_FILE
._load_balancer|DEAD|NO_FILE
torch.distributed.tensor.parallel|DEAD|NO_FILE
._sharding_rules|DEAD|NO_FILE
torch.distributed.tensor.debug|DEAD|NO_FILE
torch.distributed.tensor._ops._matrix_ops|DEAD|NO_FILE
torch.distributed.tensor.parallel.style|DEAD|NO_FILE
torch.distributed.tensor.parallel.api|DEAD|NO_FILE
torch.distributed.tensor.parallel.loss|DEAD|NO_FILE
torch.distributed.tensor.parallel._data_parallel_utils|DEAD|NO_FILE
torch.distributed.tensor._ops._math_ops|DEAD|NO_FILE
torch._C._distributed|DEAD|NO_FILE
torch.distributed.tensor._ops._mask_buffer|DEAD|NO_FILE
torch.nn.parallel._functions|DEAD|NO_FILE
torch.nn.parallel.scatter_gather|DEAD|NO_FILE
.bernoulli|DEAD|NO_FILE
.beta|DEAD|NO_FILE
.binomial|DEAD|NO_FILE
.categorical|DEAD|NO_FILE
.cauchy|DEAD|NO_FILE
.chi2|DEAD|NO_FILE
.constraint_registry|DEAD|NO_FILE
.continuous_bernoulli|DEAD|NO_FILE
.dirichlet|DEAD|NO_FILE
.distribution|DEAD|NO_FILE
.exp_family|DEAD|NO_FILE
.exponential|DEAD|NO_FILE
.fishersnedecor|DEAD|NO_FILE
.gamma|DEAD|NO_FILE
.generalized_pareto|DEAD|NO_FILE
.geometric|DEAD|NO_FILE
.gumbel|DEAD|NO_FILE
.half_cauchy|DEAD|NO_FILE
.half_normal|DEAD|NO_FILE
.independent|DEAD|NO_FILE
.inverse_gamma|DEAD|NO_FILE
.kl|DEAD|NO_FILE
.kumaraswamy|DEAD|NO_FILE
.laplace|DEAD|NO_FILE
.lkj_cholesky|DEAD|NO_FILE
.log_normal|DEAD|NO_FILE
.logistic_normal|DEAD|NO_FILE
.lowrank_multivariate_normal|DEAD|NO_FILE
.mixture_same_family|DEAD|NO_FILE
.multivariate_normal|DEAD|NO_FILE
.negative_binomial|DEAD|NO_FILE
.normal|DEAD|NO_FILE
.one_hot_categorical|DEAD|NO_FILE
.pareto|DEAD|NO_FILE
.poisson|DEAD|NO_FILE
.relaxed_bernoulli|DEAD|NO_FILE
.relaxed_categorical|DEAD|NO_FILE
.studentT|DEAD|NO_FILE
.transformed_distribution|DEAD|NO_FILE
.uniform|DEAD|NO_FILE
.von_mises|DEAD|NO_FILE
.weibull|DEAD|NO_FILE
.wishart|DEAD|NO_FILE
torch.distributions.exp_family|DEAD|NO_FILE
torch.distributions.utils|DEAD|NO_FILE
torch.distributions.dirichlet|DEAD|NO_FILE
torch.distributions.distribution|DEAD|NO_FILE
torch.distributions.gamma|DEAD|NO_FILE
torch.distributions.transformed_distribution|DEAD|NO_FILE
torch.distributions.transforms|DEAD|NO_FILE
torch.distributions.uniform|DEAD|NO_FILE
torch.distributions.cauchy|DEAD|NO_FILE
torch.distributions.normal|DEAD|NO_FILE
torch.distributions.multivariate_normal|DEAD|NO_FILE
torch.distributions.constraints|DEAD|NO_FILE
torch.distributions.binomial|DEAD|NO_FILE
torch.distributions.categorical|DEAD|NO_FILE
torch.distributions.exponential|DEAD|NO_FILE
torch.distributions.independent|DEAD|NO_FILE
torch.distributions.gumbel|DEAD|NO_FILE
.decomp_utils|DEAD|NO_FILE
.dynamic_shapes|DEAD|NO_FILE
.exported_program|DEAD|NO_FILE
.graph_signature|DEAD|NO_FILE
.unflatten|DEAD|NO_FILE
._trace|DEAD|NO_FILE
._draft_export|DEAD|NO_FILE
torch._export.passes.insert_custom_op_guards|DEAD|NO_FILE
torch.fx.passes.utils.fuser_utils|DEAD|NO_FILE
torch._export.db.logging|DEAD|NO_FILE
torch._export.passes.collect_tracepoints_pass|DEAD|NO_FILE
torch._functorch._aot_autograd.graph_capture_wrappers|DEAD|NO_FILE
torch._functorch._aot_autograd.subclass_utils|DEAD|NO_FILE
torch.export._leakage_detection_utils|DEAD|NO_FILE
torch._export.passes.replace_autocast_with_hop_pass|DEAD|NO_FILE
torch._export.passes.replace_set_grad_with_hop_pass|DEAD|NO_FILE
torch._dynamo.functional_export|DEAD|NO_FILE
._remove_effect_tokens_pass|DEAD|NO_FILE
._tree_utils|DEAD|NO_FILE
torch.export.experimental._utils|DEAD|NO_FILE
torch.export._wrapper_utils|DEAD|NO_FILE
._unlift|DEAD|NO_FILE
._package|DEAD|NO_FILE
torch._C._export|DEAD|NO_FILE
torch._functorch.functional_call|DEAD|NO_FILE
torch._lowrank|DEAD|NO_FILE
torch.backends.opt_einsum|DEAD|NO_FILE
torch.fx.interpreter|DEAD|NO_FILE
torch._inductor.standalone_compile|DEAD|NO_FILE
torch.package|DEAD|NO_FILE
._compatibility|DEAD|NO_FILE
torch.return_types|DEAD|NO_FILE
._lazy_graph_module|DEAD|NO_FILE
.node|DEAD|NO_FILE
.proxy|DEAD|NO_FILE
torch.fx.experimental.partitioner_utils|DEAD|NO_FILE
torch.fx.passes.graph_manipulation|DEAD|NO_FILE
torch.fx.experimental.refinement_types|DEAD|NO_FILE
torch.fx.experimental.unification|DEAD|NO_FILE
torch.fx.tensor_type|DEAD|NO_FILE
torch.nn.modules.conv|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.operation|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.constraint|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.util|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.constraint_generator|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.constraint_transformation|DEAD|NO_FILE
z3  # type: ignore[import]|DEAD|NO_FILE
torch.fx.experimental.migrate_gradual_types.z3_types|DEAD|NO_FILE
.schema_type_annotation|DEAD|NO_FILE
torch.utils.mkldnn|DEAD|NO_FILE
torch.utils._thunk|DEAD|NO_FILE
._backward_state|DEAD|NO_FILE
.sym_node|DEAD|NO_FILE
.symbolic_shapes|DEAD|NO_FILE
torch.fx.experimental.recording|DEAD|NO_FILE
torch._inductor.sizevars|DEAD|NO_FILE
.unification_tools|DEAD|NO_FILE
.multipledispatch|DEAD|NO_FILE
torch.fx.experimental.graph_gradual_typechecker|DEAD|NO_FILE
.immutable_collections|DEAD|NO_FILE
._symbolic_trace|DEAD|NO_FILE
.experimental|DEAD|NO_FILE
.._ops|DEAD|NO_FILE
torch.fx.passes.infra.partitioner|DEAD|NO_FILE
torch.fx.passes.operator_support|DEAD|NO_FILE
.graph_drawer|DEAD|NO_FILE
.shape_prop|DEAD|NO_FILE
.split_utils|DEAD|NO_FILE
.tools_common|DEAD|NO_FILE
_operator|DEAD|NO_FILE
torch.fx.passes.utils|DEAD|NO_FILE
.operator_support|DEAD|NO_FILE
..pass_manager|DEAD|NO_FILE
torch.fx.passes.utils.matcher_utils|DEAD|NO_FILE
.matcher_utils|DEAD|NO_FILE
.operator_schemas|DEAD|NO_FILE
.passes.utils.matcher_with_name_node_map_utils|DEAD|NO_FILE
torch.jit._async|DEAD|NO_FILE
torch.jit._await|DEAD|NO_FILE
torch.jit._decomposition_utils|DEAD|NO_FILE
torch.jit._freeze|DEAD|NO_FILE
torch.jit._fuser|DEAD|NO_FILE
torch.jit._ir_utils|DEAD|NO_FILE
torch.jit._script|DEAD|NO_FILE
torch.jit._serialization|DEAD|NO_FILE
torch.jit._trace|DEAD|NO_FILE
torch.backends.cudnn|DEAD|NO_FILE
monkeytype  # type: ignore[import]|DEAD|NO_FILE
monkeytype|DEAD|NO_FILE
monkeytype.config|DEAD|NO_FILE
monkeytype.db.base|DEAD|NO_FILE
monkeytype.tracing|DEAD|NO_FILE
torch.jit._check|DEAD|NO_FILE
torch.jit._state|DEAD|NO_FILE
torch.jit.frontend|DEAD|NO_FILE
torch.jit._monkeytype_config|DEAD|NO_FILE
._serialization|DEAD|NO_FILE
torch.testing._comparison|DEAD|NO_FILE
torch.jit._dataclass_impls|DEAD|NO_FILE
torch.jit.mobile|DEAD|NO_FILE
torch._library|DEAD|NO_FILE
torch.testing._internal.optests|DEAD|NO_FILE
torch.masked._ops|DEAD|NO_FILE
torch.masked.maskedtensor.core|DEAD|NO_FILE
torch.masked.maskedtensor.creation|DEAD|NO_FILE
torch.masked|DEAD|NO_FILE
.binary|DEAD|NO_FILE
.passthrough|DEAD|NO_FILE
.unary|DEAD|NO_FILE
._ops_refs|DEAD|NO_FILE
.creation|DEAD|NO_FILE
torch._C._monitor|DEAD|NO_FILE
.mtia_graph|DEAD|NO_FILE
multiprocessing.util|DEAD|NO_FILE
.queue|DEAD|NO_FILE
multiprocessing.resource_sharer|DEAD|NO_FILE
._lowered_aoti_module|DEAD|NO_FILE
._internal.nested_tensor|DEAD|NO_FILE
torch.nested._internal.sdpa|DEAD|NO_FILE
.nested_tensor|DEAD|NO_FILE
torch.nn.modules|DEAD|NO_FILE
torch.nn.attention._utils|DEAD|NO_FILE
torch.nn.attention.bias|DEAD|NO_FILE
torch.nn.intrinsic.modules.fused|DEAD|NO_FILE
torch.nn.intrinsic.qat.modules|DEAD|NO_FILE
torch.nn.intrinsic.qat.modules.conv_fused|DEAD|NO_FILE
torch.nn.intrinsic.qat.modules.linear_fused|DEAD|NO_FILE
torch.nn.intrinsic.qat.modules.linear_relu|DEAD|NO_FILE
torch.nn.intrinsic.quantized|DEAD|NO_FILE
torch.nn.intrinsic.quantized.modules|DEAD|NO_FILE
torch.nn.intrinsic.quantized.dynamic.modules|DEAD|NO_FILE
torch.nn.intrinsic.quantized.dynamic.modules.linear_relu|DEAD|NO_FILE
torch.nn.intrinsic.quantized.modules.bn_relu|DEAD|NO_FILE
torch.nn.intrinsic.quantized.modules.conv_relu|DEAD|NO_FILE
torch.nn.intrinsic.quantized.modules.linear_relu|DEAD|NO_FILE
.adaptive|DEAD|NO_FILE
.channelshuffle|DEAD|NO_FILE
.distance|DEAD|NO_FILE
.flatten|DEAD|NO_FILE
.fold|DEAD|NO_FILE
.instancenorm|DEAD|NO_FILE
.pixelshuffle|DEAD|NO_FILE
.pooling|DEAD|NO_FILE
.upsampling|DEAD|NO_FILE
torch.nn.init|DEAD|NO_FILE
._functions|DEAD|NO_FILE
torch.backends.cudnn.rnn|DEAD|NO_FILE
torch.nn.parallel.data_parallel|DEAD|NO_FILE
torch.nn.parallel.parallel_apply|DEAD|NO_FILE
torch.nn.parallel.replicate|DEAD|NO_FILE
torch.distributed.algorithms.ddp_comm_hooks.mixed_precision_hooks|DEAD|NO_FILE
torch.distributed.algorithms._optimizer_overlap|DEAD|NO_FILE
torch.nn.qat.modules|DEAD|NO_FILE
torch.nn.qat.dynamic.modules|DEAD|NO_FILE
torch.nn.qat.dynamic.modules.linear|DEAD|NO_FILE
torch.ao.nn.qat.dynamic.modules.linear|DEAD|NO_FILE
torch.ao.nn.qat.modules.conv|DEAD|NO_FILE
torch.ao.nn.qat.modules.embedding_ops|DEAD|NO_FILE
torch.ao.nn.qat.modules.linear|DEAD|NO_FILE
torch.nn.quantizable.modules|DEAD|NO_FILE
torch.ao.nn.quantizable.modules.activation|DEAD|NO_FILE
torch.ao.nn.quantizable.modules.rnn|DEAD|NO_FILE
torch.nn.quantized.modules|DEAD|NO_FILE
torch.nn.quantized._reference.modules|DEAD|NO_FILE
torch.ao.nn.quantized.reference.modules.conv|DEAD|NO_FILE
torch.ao.nn.quantized.reference.modules.linear|DEAD|NO_FILE
torch.ao.nn.quantized.reference.modules.rnn|DEAD|NO_FILE
torch.ao.nn.quantized.reference.modules.sparse|DEAD|NO_FILE
torch.ao.nn.quantized.reference.modules.utils|DEAD|NO_FILE
torch.ao.nn.quantized.dynamic.modules|DEAD|NO_FILE
torch.ao.nn.quantized.dynamic.modules.conv|DEAD|NO_FILE
torch.ao.nn.quantized.dynamic.modules.linear|DEAD|NO_FILE
torch.ao.nn.quantized.dynamic.modules.rnn|DEAD|NO_FILE
torch.ao.nn.quantized.functional|DEAD|NO_FILE
torch.ao.nn.quantized.modules|DEAD|NO_FILE
torch.ao.nn.quantized.modules.activation|DEAD|NO_FILE
torch.ao.nn.quantized.modules.batchnorm|DEAD|NO_FILE
torch.ao.nn.quantized.modules.dropout|DEAD|NO_FILE
torch.ao.nn.quantized.modules.embedding_ops|DEAD|NO_FILE
torch.ao.nn.quantized.modules.functional_modules|DEAD|NO_FILE
torch.ao.nn.quantized.modules.linear|DEAD|NO_FILE
torch.ao.nn.quantized.modules.normalization|DEAD|NO_FILE
torch.ao.nn.quantized.modules.rnn|DEAD|NO_FILE
.clip_grad|DEAD|NO_FILE
.convert_parameters|DEAD|NO_FILE
.fusion|DEAD|NO_FILE
.memory_format|DEAD|NO_FILE
.spectral_norm|DEAD|NO_FILE
.weight_norm|DEAD|NO_FILE
torch.nn.utils._deprecation_utils|DEAD|NO_FILE
.conv_expanded_weights|DEAD|NO_FILE
.embedding_expanded_weights|DEAD|NO_FILE
.expanded_weights_impl|DEAD|NO_FILE
.group_norm_expanded_weights|DEAD|NO_FILE
.instance_norm_expanded_weights|DEAD|NO_FILE
.layer_norm_expanded_weights|DEAD|NO_FILE
.linear_expanded_weights|DEAD|NO_FILE
.conv_utils|DEAD|NO_FILE
.expanded_weights_utils|DEAD|NO_FILE
torch.nn.utils._expanded_weights.expanded_weights_impl|DEAD|NO_FILE
torch.__future__|DEAD|NO_FILE
torch.nn.modules.container|DEAD|NO_FILE
torch._C._onnx|DEAD|NO_FILE
._internal.exporter._onnx_program|DEAD|NO_FILE
._internal.torchscript_exporter|DEAD|NO_FILE
._internal.torchscript_exporter._type_utils|DEAD|NO_FILE
._internal.torchscript_exporter.utils|DEAD|NO_FILE
torch.onnx._internal.exporter|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter._globals|DEAD|NO_FILE
onnx|DEAD|NO_FILE
onnx_ir  # type: ignore[import-untyped|DEAD|NO_FILE
onnxscript|DEAD|NO_FILE
onnxscript._framework_apis.torch_2_9|DEAD|NO_FILE
onnxscript.ir|DEAD|NO_FILE
torch.onnx|DEAD|NO_FILE
torch.onnx._internal._lazy_import|DEAD|NO_FILE
onnxscript.evaluator|DEAD|NO_FILE
pyinstrument  # type: ignore[import-not-found]|DEAD|NO_FILE
torch.onnx.errors|DEAD|NO_FILE
torch.onnx._internal.fx|DEAD|NO_FILE
ml_dtypes  # type: ignore[import-not-found]|DEAD|NO_FILE
onnx.reference|DEAD|NO_FILE
torch.onnx._internal.exporter._torchlib|DEAD|NO_FILE
torch.onnx._internal.exporter._torchlib.ops|DEAD|NO_FILE
onnxscript.onnx_opset|DEAD|NO_FILE
torch.onnx._internal.exporter._torchlib._tensor_typing|DEAD|NO_FILE
torch.onnx._internal.exporter._torchlib._torchlib_registry|DEAD|NO_FILE
onnxscript.values|DEAD|NO_FILE
torch.onnx.ops|DEAD|NO_FILE
.type_promotion|DEAD|NO_FILE
onnx.defs|DEAD|NO_FILE
onnx.defs  # type: ignore[import]|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset9|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset10|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset8|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset11|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset13|DEAD|NO_FILE
onnxruntime  # type: ignore[import]|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_helper|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset12|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset14|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset15|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset16|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset17|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset18|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset19|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset20|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.symbolic_opset7|DEAD|NO_FILE
torch.onnx._internal.exporter._testing|DEAD|NO_FILE
torch.onnx._internal.torchscript_exporter.utils|DEAD|NO_FILE
torch.onnx._internal.exporter._verification|DEAD|NO_FILE
torch.optim._adafactor|DEAD|NO_FILE
torch.optim._muon|DEAD|NO_FILE
torch.optim.adadelta|DEAD|NO_FILE
torch.optim.adagrad|DEAD|NO_FILE
torch.optim.adam|DEAD|NO_FILE
torch.optim.adamax|DEAD|NO_FILE
torch.optim.adamw|DEAD|NO_FILE
torch.optim.asgd|DEAD|NO_FILE
torch.optim.lbfgs|DEAD|NO_FILE
torch.optim.nadam|DEAD|NO_FILE
torch.optim.radam|DEAD|NO_FILE
torch.optim.rmsprop|DEAD|NO_FILE
torch.optim.rprop|DEAD|NO_FILE
torch.optim.sgd|DEAD|NO_FILE
torch.optim.sparse_adam|DEAD|NO_FILE
.adadelta|DEAD|NO_FILE
.adagrad|DEAD|NO_FILE
.adam|DEAD|NO_FILE
.adamax|DEAD|NO_FILE
.adamw|DEAD|NO_FILE
.asgd|DEAD|NO_FILE
.nadam|DEAD|NO_FILE
.radam|DEAD|NO_FILE
.rmsprop|DEAD|NO_FILE
.rprop|DEAD|NO_FILE
.sgd|DEAD|NO_FILE
__future__  # noqa: F404|DEAD|NO_FILE
.analyze.is_from_package|DEAD|NO_FILE
.file_structure_representation|DEAD|NO_FILE
.glob_group|DEAD|NO_FILE
.importer|DEAD|NO_FILE
.package_exporter|DEAD|NO_FILE
.package_importer|DEAD|NO_FILE
_warnings|DEAD|NO_FILE
_compat_pickle|DEAD|NO_FILE
.find_first_use_of_broken_modules|DEAD|NO_FILE
.trace_dependencies|DEAD|NO_FILE
torch.package.package_exporter|DEAD|NO_FILE
.._mangling|DEAD|NO_FILE
._mangling|DEAD|NO_FILE
._digraph|DEAD|NO_FILE
._package_pickler|DEAD|NO_FILE
._stdlib|DEAD|NO_FILE
.find_file_dependencies|DEAD|NO_FILE
the package rather than the normal Python|DEAD|NO_FILE
_mock|DEAD|NO_FILE
._directory_reader|DEAD|NO_FILE
._package_unpickler|DEAD|NO_FILE
implementation is desired.|DEAD|NO_FILE
.profiler|DEAD|NO_FILE
torch.utils.benchmark|DEAD|NO_FILE
torch.profiler._utils|DEAD|NO_FILE
torch.ao.quantization.fuse_modules|DEAD|NO_FILE
torch.ao.quantization.fx.convert|DEAD|NO_FILE
torch.ao.quantization.fx.fuse|DEAD|NO_FILE
torch.ao.quantization.fx.fuse_handler|DEAD|NO_FILE
torch.ao.quantization.fx.pattern_utils|DEAD|NO_FILE
torch.mps|DEAD|NO_FILE
torch.xpu|DEAD|NO_FILE
torch.utils.serialization|DEAD|NO_FILE
.semi_structured|DEAD|NO_FILE
._triton_ops_meta|DEAD|NO_FILE
torch.sparse._semi_structured_conversions|DEAD|NO_FILE
torch.sparse._semi_structured_ops|DEAD|NO_FILE
torch.sparse|DEAD|NO_FILE
._comparison|DEAD|NO_FILE
._creation|DEAD|NO_FILE
torch.testing._internal.opinfo.core|DEAD|NO_FILE
torch.testing._internal.common_dtype|DEAD|NO_FILE
torch.testing._internal.common_cuda|DEAD|NO_FILE
psutil  # type: ignore[import]|DEAD|NO_FILE
torch._lazy.ts_backend|DEAD|NO_FILE
torch.cuda.nccl|DEAD|NO_FILE
torch.testing._internal|DEAD|NO_FILE
torch.testing._internal.distributed.multi_threaded_pg|DEAD|NO_FILE
torch.distributed.fsdp.sharded_grad_scaler|DEAD|NO_FILE
torch.testing._internal.common_distributed|DEAD|NO_FILE
torch.jit._logging|DEAD|NO_FILE
torch.jit.quantized|DEAD|NO_FILE
torch.testing._internal.common_device_type|DEAD|NO_FILE
torch.testing._internal.common_quantized|DEAD|NO_FILE
torch.testing._utils|DEAD|NO_FILE
torch._vendor.packaging|DEAD|NO_FILE
torch.testing._internal.opinfo.refs|DEAD|NO_FILE
torch.testing._internal.opinfo.utils|DEAD|NO_FILE
torch.testing._internal.opinfo.definitions.linalg|DEAD|NO_FILE
torch.testing._internal.opinfo.definitions.special|DEAD|NO_FILE
torch.testing._internal.opinfo.definitions._masked|DEAD|NO_FILE
torch.testing._internal.opinfo.definitions.sparse|DEAD|NO_FILE
torch.testing._internal.common_methods_invocations|DEAD|NO_FILE
torch.testing._internal.common_nn|DEAD|NO_FILE
.common_utils|DEAD|NO_FILE
.opinfo.core|DEAD|NO_FILE
torch.autograd.gradcheck|DEAD|NO_FILE
torch.ao.pruning|DEAD|NO_FILE
functorch.experimental|DEAD|NO_FILE
torch.ao.quantization.quantizer.xnnpack_quantizer|DEAD|NO_FILE
torch.ao.quantization.quantizer.xpu_inductor_quantizer|DEAD|NO_FILE
torchvision  # noqa: F401|DEAD|NO_FILE
torch.testing._internal.logging_tensor|DEAD|NO_FILE
expecttest|DEAD|NO_FILE
__main__  # type: ignore[import]|DEAD|NO_FILE
torch.backends.mkl|DEAD|NO_FILE
torch.backends.mps|DEAD|NO_FILE
torch.backends.xnnpack|DEAD|NO_FILE
torch._logging.scribe|DEAD|NO_FILE
pytest  # type: ignore[import-not-found]|DEAD|NO_FILE
xmlrunner  # type: ignore[import]|DEAD|NO_FILE
xmlrunner.result|DEAD|NO_FILE
cuda.bindings  # type: ignore[import]|DEAD|NO_FILE
.dynamo_test_failures|DEAD|NO_FILE
objgraph  # type: ignore[import-not-found|DEAD|NO_FILE
torch.testing._internal.autograd_function_db|DEAD|NO_FILE
torch.distributed.rpc.api|DEAD|NO_FILE
torch.distributed._shard|DEAD|NO_FILE
torch.distributed._sharded_tensor|DEAD|NO_FILE
torch.distributed.nn|DEAD|NO_FILE
torch.testing._internal.dist_utils|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.rpc_agent_test_fixture|DEAD|NO_FILE
torch.distributed.algorithms.model_averaging.hierarchical_model_averager|DEAD|NO_FILE
torch.distributed.optim.post_localSGD_optimizer|DEAD|NO_FILE
torch.distributed.algorithms.ddp_comm_hooks|DEAD|NO_FILE
torchvision|DEAD|NO_FILE
torch.distributed.nn.api.remote_module|DEAD|NO_FILE
torch.distributed.rpc._testing  # noqa: F401|DEAD|NO_FILE
torch.testing._internal.distributed.ddp_under_dist_autograd_test|DEAD|NO_FILE
torch.testing._internal.distributed.nn.api.remote_module_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.dist_autograd_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.dist_optimizer_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.examples.parameter_server_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.examples.reinforcement_learning_rpc_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.faulty_agent_rpc_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.jit.dist_autograd_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.jit.rpc_test|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.jit.rpc_test_faulty|DEAD|NO_FILE
torch.testing._internal.distributed.rpc.rpc_test|DEAD|NO_FILE
torch.utils._helion|DEAD|NO_FILE
math  # noqa: F401|DEAD|NO_FILE
torch.testing._internal.common_jit|DEAD|NO_FILE
torch.testing._internal.opinfo.definitions|DEAD|NO_FILE
torch.testing._internal.opinfo|DEAD|NO_FILE
pytest_subtests  # noqa: F401|DEAD|NO_FILE
torch.nested._internal.ops|DEAD|NO_FILE
.make_fx|DEAD|NO_FILE
.autograd_registration|DEAD|NO_FILE
.generate_tests|DEAD|NO_FILE
torch.testing._internal.two_tensor|DEAD|NO_FILE
torch.testing._internal.inductor_utils|DEAD|NO_FILE
torch._vendor.packaging.version|DEAD|NO_FILE
torch.utils.cpp_backtrace|DEAD|NO_FILE
torch.utils.throughput_benchmark|DEAD|NO_FILE
torch._dynamo.polyfills.pytree|DEAD|NO_FILE
torch.distributed.tensor  # noqa: F401|DEAD|NO_FILE
torch.autograd.grad_mode|DEAD|NO_FILE
helion  # type: ignore[import-untyped|DEAD|NO_FILE
import-not-found]  # noqa: F401|DEAD|NO_FILE
dill|DEAD|NO_FILE
jax  # noqa: F401  # type: ignore[import-not-found]|DEAD|NO_FILE
.flop_counter|DEAD|NO_FILE
.interp|DEAD|NO_FILE
triton.language.extra.cuda|DEAD|NO_FILE
triton.runtime.driver|DEAD|NO_FILE
torch.utils.benchmark.utils.common|DEAD|NO_FILE
torch.utils.benchmark.utils.timer|DEAD|NO_FILE
torch.utils.benchmark.utils.compare|DEAD|NO_FILE
torch.utils.benchmark.utils.fuzzer|DEAD|NO_FILE
