# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

.tokenization_utils_tokenizers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trainer_callback|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trainer_pt_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trainer_seq2seq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trainer_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.training_args_seq2seq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.kernel_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.quantization_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.video_processing_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.hub_kernels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
xielu.ops  # noqa: F401|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
soundfile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
librosa|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
soxr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchcodec.decoders|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hqq.core.quantize|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
optimum.quanto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.add_fast_image_processor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
libcst|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.configuration_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.feature_extraction_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.image_processing_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.processing_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.tokenization_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto.video_processing_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...utils.import_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.models.auto.configuration_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
readline  # noqa importing this enables GNU readline capabilities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
rich.live|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..generation.continuous_batching|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.audio.transcription|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.audio.transcription_create_params|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.chat|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.chat.chat_completion|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.chat.chat_completion_chunk|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.chat.completion_create_params|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.responses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
openai.types.responses.response_create_params|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.models.auto.modeling_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..integrations.deepspeed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.commands.config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
deepspeed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.add_fast_image_processor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.add_new_model_like|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.chat|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.download|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.serve|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.cli.system|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dynamic_module_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.modeling_gguf_pytorch_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.generic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.models.auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quantizers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sentencepiece|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.models.roformer.tokenization_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
tiktoken.load|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.accelerate|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.tensor_parallel|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.conversion_mapping|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.data_collator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..tokenization_utils_base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.glue|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.squad|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...tokenization_utils_base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..processors.glue|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..processors.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...models.auto.modeling_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...tokenization_python|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..processors.squad|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...models.bert|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.xnli|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...models.bert.tokenization_bert_legacy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dependency_versions_table|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.versions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.audio_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.hub|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.streamers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.candidate_generator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.continuous_batching|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.logits_process|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.stopping_criteria|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.watermarking|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..pytorch_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modeling_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..configuration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.continuous_api|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...configuration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...utils.generic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...utils.metrics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cache_manager|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...generation.logits_process|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...utils.logging|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.logging|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..generation.configuration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..cache_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..dynamic_module_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..integrations.fsdp|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..masking_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..tokenization_python|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.generic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.hooks|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.image_transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
huggingface_hub.dataclasses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchvision.transforms.v2.functional|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.constants|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchvision.transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.aqlm|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.awq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bitnet|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bitsandbytes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.deepspeed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.eetq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.fbgemm_fp8|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.finegrained_fp8|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.fsdp|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ggml|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.higgs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.hqq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.hub_kernels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integration_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.moe|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.mxfp4|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.peft|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quanto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.spqr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vptq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.tensor_parallel|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.flex_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.quantization_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.utils.modeling|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..quantizers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..core_model_loading|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..quantizers.quantizers_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
aqlm|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
gptqmodel.quantization.awq.modules.act|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
gptqmodel.quantization|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
gptqmodel.utils.importer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..models.llama.modeling_llama|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
bitsandbytes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..dependency_versions_check|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.utils.deepspeed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
deepspeed.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..generation.continuous_batching.cache|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..activations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fbgemm_gpu.experimental.gen_ai  # noqa: F401|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..integrations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modeling_flash_attention_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.import_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fp_quant|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.utils.quantization_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..convert_slow_tokenizer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flute.integrations.higgs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flute.tune|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fast_hadamard_transform|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.flash_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
kernels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
comet_ml|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..trainer_callback|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..trainer_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..training_args|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
optuna|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
accelerate.utils.memory|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
ray.tune|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.utils.notebook|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
ray.tune.schedulers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
datasets.load|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
wandb.env|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
wandb.sdk.lib.config_util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..trainer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
trackio|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
azureml.core.run|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dagshub.upload|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.internal.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.new.internal.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.new.metadata_containers.run|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.new|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.new.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
neptune.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
codecarbon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flytekit|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flytekitplugins.deck.renderer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dvclive|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dvclive.plots|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dvclive.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
swanlab|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.convert_slow_tokenizer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.tokenization_utils_tokenizers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
mistral_common.tokens.tokenizers.base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
mistral_common.tokens.tokenizers.mistral|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..integrations.tensor_parallel|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torch_npu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..conversion_mapping|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.hub|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..utils.loading_report|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
peft.mapping|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
peft.tuners.tuners_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
peft.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
peft.functional|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
spqr_quant|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..distributed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
tiktoken|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchao.prototype.safetensors.safetensors_support|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchao.prototype.safetensors.safetensors_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchao.dtypes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchao.quantization.linear_activation_quantized_tensor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torchao.quantization|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torch_xla.distributed.parallel_loader|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
vptq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_for_object_detection|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_rt_detr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers.image_transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..image_transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_d_fine|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_deformable_detr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_grounding_dino|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss_lw_detr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.models.auto.modeling_auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.npu_flash_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flash_attn|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flash_attn.bert_padding|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flash_attn_interface|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.flash_paged|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.logging|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
gguf|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.modeling_outputs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.models.auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.deepspeed|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.eager_paged|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.flash_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.flex_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.peft|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.sdpa_attention|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrations.sdpa_paged|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loss.loss_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.modeling_flash_attention_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quantizers.auto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quantizers.quantizers_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.safetensors_conversion|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.utils.loading_report|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
smdistributed.modelparallel.torch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
smdistributed.modelparallel|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.afmoe|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.aimv2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.albert|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.altclip|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.apertus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.arcee|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.aria|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.audio_spectrogram_transformer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.audioflamingo3|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.autoformer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.aya_vision|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bamba|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bark|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bart|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.barthez|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bartpho|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.beit|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bert|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bert_generation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bert_japanese|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bertweet|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.big_bird|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bigbird_pegasus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.biogpt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
